platform,type,company,year,sold,companyother
WonderSwan,Handheld,Bandai,1999,3.5,Others
ColecoVision,Home,Coleco,1982,2,Others
Telstar,Dedicated,Coleco,1976,1,Others
Magnavox Odyssey,Home,Magnavox/Philips,1978,2,Others
Intellivision,Home,Mattel,1980,3,Others
Dendy,Home,Micro Genius,1992,6,Others
PC Engine CD-ROM,Home console add-on,NEC,1988,1.92,Others
PC Engine/TurboGrafx-16,Home,NEC/Hudson Soft,1987,10,Others
N-Gage,Handheld,Nokia,2003,3,Others
Philips CD-i,Home,Philips,1990,1,Others
Master System (Brazilian variants),Home,Tectoy,1989,8,Others
Mega Drive (Brazilian variants),Home,Tectoy,1990,3,Others
Steam Deck,Handheld,Valve,2022,1.45,Others
